,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-5.99857144648153,0.11002898113165828,-54.518104092082524,0.0,-6.2142242867552175,-5.782918606207843
HvyAlcoholConsump,-0.6740079931101731,0.03401713225127821,-19.813780542445546,2.264271719147117e-87,-0.7406803471800143,-0.6073356390403319
PhysActivity,-0.32406153725016906,0.01269563142809144,-25.525436768203807,1.029127550419086e-143,-0.3489445176102231,-0.299178556890115
BMI,0.0817234981221585,0.0008592683941646563,95.10823239531179,0.0,0.0800393630165422,0.0834076332277748
IncomeGroup_Medium,-0.4865890342627525,0.013710129172617434,-35.491207131337084,6.7175613715973985e-276,-0.5134603936644746,-0.45971767486103043
IncomeGroup_High,-0.8685080189818172,0.01551380649675919,-55.98290910507664,0.0,-0.8989145209785887,-0.8381015169850456
AgeGroup_25-29,0.32806040268104913,0.12964684836028997,2.5304155621999063,0.011392750295160268,0.07395724918575503,0.5821635561763432
AgeGroup_30-34,0.6214355331431733,0.11866676592834177,5.236811910071216,1.6337403494677537e-07,0.38885294576177865,0.854018120524568
AgeGroup_35-39,1.2361972345337422,0.11218975491115213,11.018806802035888,3.1014286517656866e-28,1.0163093554735083,1.456085113593976
AgeGroup_40-44,1.5631460504571697,0.1099196872607965,14.220801472519064,6.8068858973043784e-46,1.3477074222341023,1.778584678680237
AgeGroup_45-49,1.9260822111404163,0.10819754178073145,17.80153392989032,6.875947034816887e-71,1.714018926034415,2.138145496246418
AgeGroup_50-54,2.2191562142784096,0.1071008534087272,20.720247725846598,2.275119071891157e-95,2.0092423988838,2.429070029673019
AgeGroup_55-59,2.4117129000036246,0.10667767241923384,22.607475822361454,3.658725612343148e-113,2.2026285041073645,2.6207972958998846
AgeGroup_60-64,2.67833410508175,0.10638786282833966,25.17518478027264,7.491184233319188e-140,2.4698177255460165,2.8868504846174834
AgeGroup_65-69,2.8651502608311876,0.10630362422837586,26.952517203702136,5.329637095396666e-160,2.6567989859174914,3.073501535744884
AgeGroup_70-74,2.9757066773992285,0.10656914999537913,27.922777628687626,1.41168362490314e-171,2.7668349815452387,3.1845783732532182
AgeGroup_75-79,2.951253832228086,0.10714416589990054,27.544699307149354,5.122104508594013e-167,2.7412551259106963,3.1612525385454755
AgeGroup_80+,2.830931589659885,0.1071914178808017,26.410058245594985,1.0501847160860281e-153,2.6208402711617307,3.0410229081580393
Sex_Male,0.3253576752194297,0.011865845328628565,27.419679442006853,1.5979986114806162e-165,0.3021010457291949,0.34861430470966454
