Income,Education,PhysActivity,Veggies,HvyAlcoholConsump,Fruits,User Reference
3.0,4.0,0.0,1.0,0.0,0.0,User_0
1.0,6.0,1.0,0.0,0.0,0.0,User_1
8.0,4.0,0.0,0.0,0.0,1.0,User_2
6.0,3.0,1.0,1.0,0.0,1.0,User_3
4.0,5.0,1.0,1.0,0.0,1.0,User_4
8.0,6.0,1.0,1.0,0.0,1.0,User_5
7.0,6.0,0.0,0.0,0.0,0.0,User_6
4.0,4.0,1.0,1.0,0.0,0.0,User_7
1.0,5.0,0.0,1.0,0.0,1.0,User_8
3.0,4.0,0.0,1.0,0.0,0.0,User_9
8.0,6.0,1.0,1.0,0.0,1.0,User_10
1.0,5.0,0.0,1.0,0.0,1.0,User_11
7.0,5.0,0.0,1.0,0.0,0.0,User_12
6.0,4.0,0.0,1.0,0.0,0.0,User_13
2.0,6.0,1.0,1.0,0.0,0.0,User_14
8.0,6.0,1.0,0.0,0.0,0.0,User_15
3.0,4.0,1.0,1.0,0.0,1.0,User_16
6.0,5.0,1.0,0.0,0.0,0.0,User_17
7.0,6.0,0.0,1.0,0.0,0.0,User_18
8.0,6.0,0.0,0.0,1.0,0.0,User_19
4.0,4.0,0.0,0.0,0.0,1.0,User_20
3.0,2.0,0.0,1.0,0.0,1.0,User_21
5.0,5.0,0.0,1.0,0.0,0.0,User_22
4.0,5.0,1.0,1.0,0.0,1.0,User_23
6.0,4.0,0.0,1.0,0.0,1.0,User_24
8.0,6.0,1.0,1.0,0.0,1.0,User_25
5.0,6.0,0.0,1.0,0.0,0.0,User_26
4.0,2.0,0.0,1.0,0.0,0.0,User_27
7.0,4.0,0.0,1.0,0.0,1.0,User_28
8.0,6.0,1.0,1.0,0.0,1.0,User_29
4.0,5.0,1.0,0.0,0.0,0.0,User_30
3.0,3.0,1.0,1.0,0.0,1.0,User_31
8.0,4.0,1.0,1.0,0.0,1.0,User_32
2.0,6.0,1.0,0.0,0.0,0.0,User_33
3.0,3.0,0.0,0.0,0.0,0.0,User_34
4.0,4.0,1.0,1.0,0.0,1.0,User_35
3.0,4.0,1.0,1.0,0.0,0.0,User_36
7.0,5.0,1.0,1.0,0.0,1.0,User_37
3.0,5.0,1.0,1.0,0.0,1.0,User_38
1.0,3.0,0.0,1.0,0.0,1.0,User_39
7.0,6.0,1.0,0.0,0.0,1.0,User_40
4.0,4.0,0.0,0.0,0.0,1.0,User_41
3.0,4.0,0.0,1.0,0.0,1.0,User_42
8.0,6.0,1.0,1.0,0.0,0.0,User_43
8.0,5.0,0.0,1.0,0.0,1.0,User_44
3.0,6.0,1.0,1.0,0.0,1.0,User_45
2.0,5.0,1.0,1.0,0.0,1.0,User_46
7.0,4.0,0.0,1.0,0.0,1.0,User_47
6.0,5.0,1.0,1.0,0.0,1.0,User_48
2.0,4.0,0.0,1.0,0.0,0.0,User_49
1.0,4.0,1.0,0.0,0.0,0.0,User_50
3.0,3.0,1.0,1.0,0.0,1.0,User_51
5.0,4.0,0.0,1.0,0.0,0.0,User_52
6.0,5.0,1.0,1.0,0.0,0.0,User_53
8.0,6.0,0.0,1.0,0.0,0.0,User_54
8.0,6.0,1.0,1.0,0.0,0.0,User_55
8.0,6.0,1.0,0.0,1.0,0.0,User_56
8.0,6.0,1.0,1.0,0.0,1.0,User_57
6.0,6.0,1.0,1.0,0.0,0.0,User_58
5.0,4.0,1.0,1.0,0.0,0.0,User_59
4.0,4.0,1.0,1.0,0.0,1.0,User_60
2.0,4.0,0.0,0.0,0.0,0.0,User_61
5.0,6.0,1.0,1.0,0.0,1.0,User_62
8.0,5.0,1.0,0.0,0.0,0.0,User_63
3.0,4.0,1.0,1.0,0.0,1.0,User_64
6.0,5.0,0.0,1.0,0.0,1.0,User_65
7.0,5.0,1.0,1.0,0.0,1.0,User_66
4.0,4.0,0.0,0.0,0.0,1.0,User_67
2.0,3.0,1.0,1.0,0.0,1.0,User_68
3.0,5.0,0.0,0.0,0.0,1.0,User_69
5.0,5.0,1.0,1.0,0.0,0.0,User_70
8.0,6.0,1.0,0.0,0.0,0.0,User_71
3.0,4.0,1.0,0.0,0.0,0.0,User_72
7.0,5.0,0.0,1.0,0.0,0.0,User_73
